url_id,file_name,url,cc_digest,cc_http_mime,cc_detected_mime,cc_warc_file_name,cc_warc_start,cc_warc_end,cc_truncated,fetched_status,fetched_digest,fetched_length
6368476,0000000.pdf,http://augustaarchives.com/cgi-bin/content/view.php?data=ib_math_sl_practice_questions_and_answers&filetype=pdf&id=14310d60ac64f9023c7dbc458f0f7b38,H66IGSGFXBJLJIKKN7LSHQSM3YTX4TDF,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046154042.23/warc/CC-MAIN-20210731011529-20210731041529-00143.warc.gz,3724499,3742341,,ADDED_TO_REPOSITORY,00000836a41510292765a86e57a80f1e182360ca5c6ff0841482b31c8f25ab84,29690
5290472,0000001.pdf,https://demaniocivico.it/attachments/article/2061/_20190226_snciv@sU0@a2019@n05644@tO.clean.pdf,GV7Q75UNYAJUXSVQO7SFFOBMHBWO4TFP,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046153709.26/warc/CC-MAIN-20210728092200-20210728122200-00297.warc.gz,214275607,214905964,,ADDED_TO_REPOSITORY,00000ab649c7679e3165f854584212bb59c9897feb353dbd079257c3c5c92329,673459
983569,0000002.pdf,https://www.polydepannage.com/ressources/fichiers/5e9adb0c05f2.pdf,V47MTJBIRPQ2L5SYBDEYSVUJ3FHA4PV5,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046153816.3/warc/CC-MAIN-20210729043158-20210729073158-00099.warc.gz,983200896,983236506,,ADDED_TO_REPOSITORY,00000ac14d3fc6f2afdd953a0fbfbb121e367b546b4691e2647ee90aefcaa9d0,37244
88000,0000003.pdf,https://community.jisc.ac.uk/printpdf/48959?f%5B0%5D=bundle%3Aevent&f%5B1%5D=im_field_tags%3A703&f%5B2%5D=im_field_tags%3A1564&f%5B3%5D=im_field_tags%3A200&f%5B4%5D=is_uid%3A13359&f%5B5%5D=im_field_tags%3A663&f%5B6%5D=im_field_tags%3A1563&f%5B7%5D=im_field_tags%3A1587,AE4V3OPZROQMFQQ2JABNSRKC3IYMKQZJ,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046155268.80/warc/CC-MAIN-20210805000836-20210805030836-00074.warc.gz,186748735,186751961,,ADDED_TO_REPOSITORY,00000bae03b708d17d071c1fe0d21b7d77cf5c1c763dc36f82d68a1eca23b2b4,3939
1883928,0000004.pdf,https://www.molinorahue.cl/docs/integral_espelta.pdf,P6YMI2CND6IPREJ6YU5YMIXIMY3OKM6E,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046153739.28/warc/CC-MAIN-20210728154442-20210728184442-00049.warc.gz,955386778,955951504,,ADDED_TO_REPOSITORY,00000effdbf31ea44650231c02ad03c4761c91a2254d0f41cea2fe22c4da0504,578834
1524741,0000005.pdf,https://www.delock.de/produkt/82599/pdf.html?sprache=fr,5DHXPRNVR6NAFORP73WRYJR235OB7W3X,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046151672.96/warc/CC-MAIN-20210725111913-20210725141913-00078.warc.gz,749783846,749979149,,ADDED_TO_REPOSITORY,00001361593604457d03580fb6eb67e0822bd3ce3c3e1e1d3c2e54de27b8a573,209680
6034545,0000006.pdf,https://detken.net/pdf/Detken_azimutale-parallaktische-Montierung_DSF-Vortrag_2015.pdf,HKHUK2PABRLAYQRXIHD5QZ3JD5FO6SEG,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046150266.65/warc/CC-MAIN-20210724125655-20210724155655-00669.warc.gz,226990577,227964951,length,REFETCHED_SUCCESS,000014ed4ed93936679f0e1a83ea1eb4856fd6f60391c39262c1a9c5b7ce2cd4,2104691
2902384,0000007.pdf,http://www.acutenet.co.jp/image/fukkou/070.pdf,MDWS3PDB5BXLPPATHTCD7Q7SGH4HKZP3,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046151563.91/warc/CC-MAIN-20210725014052-20210725044052-00347.warc.gz,48920193,49622837,,ADDED_TO_REPOSITORY,000015720e8251a48bf51b295f54fab402cf26017c9828d5a047da16d9915766,830727
3821405,0000008.pdf,https://yokosukaclimatecase.jp/wp/wp-content/uploads/2021/05/%E4%B9%9956.pdf,43W5AKT7WMXPTBZG2M6ZCBDZ6CQXUTPR,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046152085.13/warc/CC-MAIN-20210805224801-20210806014801-00651.warc.gz,1159052579,1159873412,,ADDED_TO_REPOSITORY,0000158a56c9c97dcd28a2bf0a20c4e6333301cc621be1dedab7c1166fb091c2,847071
3700352,0000009.pdf,https://webservices.ncleg.gov/ViewBillDocument/2017/7689/1/H1029-CR-NBC-2656,ERA46RPRECZAHEWM4VZK2TAGX2S2GJQO,application/pdf,application/pdf,crawl-data/CC-MAIN-2021-31/segments/1627046154310.16/warc/CC-MAIN-20210802075003-20210802105003-00058.warc.gz,607605791,608524031,length,REFETCHED_SUCCESS,000015c639bce616b7d88199ad7579443d049815713b4f3dd84f1b7a9967a036,1416925
